episode,reward,steps
1,-632,200
2,-596,200
3,-578,200
4,-578,200
5,-560,200
6,-380,200
7,-542,200
8,-524,200
9,-380,200
10,-380,200
11,-380,200
12,-335,200
13,-524,200
14,-326,200
15,-389,200
16,-416,200
17,-596,200
18,-466,181
19,-533,200
20,-207,120
21,-434,200
22,-245,200
23,-294,153
24,-416,200
25,-596,200
26,-308,200
27,-254,200
28,-254,200
29,-326,200
30,-245,200
31,-254,185
32,-326,200
33,-380,200
34,-389,200
35,-218,200
36,-85,52
37,-299,200
38,-299,200
39,-317,200
40,-308,200
41,-524,200
42,-305,182
43,-299,200
44,-272,200
45,-317,200
46,-245,200
47,-227,200
48,-254,200
49,-371,200
50,-281,200
51,-308,200
52,-185,170
53,-181,67
54,-236,200
55,-183,141
56,-272,200
57,-308,200
58,-245,200
59,-371,200
60,-254,200
61,-218,200
62,-362,200
63,-272,200
64,-317,200
65,-126,84
66,-353,200
67,-299,200
68,-353,200
69,-308,200
70,-371,200
71,-290,200
72,-290,200
73,-245,200
74,-281,200
75,-138,96
76,-272,200
77,-161,146
78,-236,200
79,-245,200
80,-254,200
81,-245,200
82,-290,200
83,-299,200
84,-389,200
85,-254,200
86,-76,61
87,-74,86
88,-362,200
89,-362,200
90,-281,200
91,-272,200
92,-308,200
93,-263,200
94,-272,200
95,-362,200
96,-272,200
97,-317,200
98,-254,200
99,-254,200
100,-263,200
101,-272,200
102,-281,200
103,-294,189
104,-281,200
105,-254,200
106,-290,200
107,-236,200
108,-416,200
109,-335,200
110,-344,200
111,-290,200
112,-353,200
113,-317,200
114,-326,200
115,-299,200
116,-265,178
117,-236,200
118,-326,200
119,-299,200
120,-263,200
121,-290,200
122,-281,200
123,-236,200
124,-290,200
125,-254,200
126,-263,200
127,-353,200
128,-308,200
129,-181,157
130,-236,200
131,-95,44
132,-106,82
133,-254,200
134,-236,200
135,-254,200
136,-254,200
137,-281,200
138,-209,185
139,-290,200
140,-290,200
141,-353,200
142,-443,200
143,-200,167
144,-371,200
145,-335,200
146,-272,200
147,-254,200
148,-254,200
149,-272,200
150,-308,200
151,-235,139
152,-335,200
153,-245,200
154,-254,200
155,-227,200
156,-254,200
157,-308,200
158,-317,200
