episode,reward,steps
1,-596,200
2,-560,200
3,-515,200
4,-560,200
5,-569,200
6,-380,200
7,-587,200
8,-569,200
9,-443,200
10,-407,200
11,-470,200
12,-431,164
13,-389,200
14,-353,200
15,-587,200
16,-461,200
17,-605,200
18,-254,200
19,-290,200
20,-288,174
21,-503,191
22,-356,152
23,-578,200
24,-335,200
25,-281,200
26,-353,200
27,-380,200
28,-308,200
29,-254,200
30,-254,200
31,-506,200
32,-290,200
33,-344,200
34,-515,200
35,-344,200
36,-317,200
37,-254,200
38,-113,80
39,-272,200
40,-335,200
41,-407,200
42,-281,200
43,-227,200
44,-54,48
45,-263,200
46,-326,200
47,-299,200
48,-254,200
49,-236,200
50,-263,200
51,-245,200
52,-254,200
53,-263,200
54,-29,50
55,-290,200
56,-193,151
57,-335,200
58,-272,200
59,-227,200
60,-254,200
61,-416,200
62,-254,200
63,-236,200
64,9,12
65,-353,200
66,-281,200
67,-272,200
68,-371,200
69,-147,105
70,-245,200
71,-281,200
72,-245,200
73,-272,200
74,-128,149
75,-254,200
76,-263,200
77,-290,200
78,-263,200
79,-254,200
80,-254,200
81,-177,189
82,-227,200
83,-389,200
84,-443,200
85,-254,200
86,-254,200
87,-249,153
88,-272,200
89,-425,200
90,-398,200
91,-335,200
92,-308,200
93,-353,200
94,-416,200
95,-272,200
96,-227,200
97,-236,200
98,-290,200
99,-281,200
100,-236,200
101,-290,200
102,-245,200
103,-142,118
104,-299,200
105,-179,146
106,-245,200
107,-344,200
108,-308,200
109,-290,200
110,-335,200
111,-299,200
112,-389,200
113,-263,200
114,-344,200
115,-326,200
116,-308,200
117,-308,200
118,-335,200
119,-317,200
120,-109,103
121,-299,200
122,-245,200
123,-141,117
124,-335,200
125,-299,200
126,-308,200
127,-175,142
128,-236,200
129,-211,178
130,-299,200
131,-308,200
132,-34,55
133,-254,200
134,-245,200
135,-254,200
136,-407,200
137,-211,178
138,-236,200
139,-317,200
140,-263,200
141,-317,200
142,-272,200
143,-281,200
144,-290,200
145,-272,200
146,-227,200
147,-290,200
148,-254,200
149,-149,125
150,-281,200
151,-380,200
152,-281,200
153,-299,200
154,-272,200
155,-371,200
156,-254,200
157,-263,200
158,-245,200
159,-254,200
160,-416,200
161,-245,200
162,-353,200
163,-281,200
164,-263,200
165,-236,200
166,-344,200
167,-335,200
168,-308,200
169,-272,200
170,-398,200
171,-326,200
172,-353,200
173,-236,200
174,-272,200
175,-299,200
176,-335,200
177,-389,200
178,-317,200
179,-242,182
180,-362,200
181,-281,200
182,-281,200
183,-263,200
184,-290,200
185,-281,200
186,-254,200
187,-317,200
188,-281,200
189,-290,200
190,-335,200
191,-263,200
192,-299,200
193,-34,46
194,-317,200
195,-254,200
196,-227,200
197,-227,200
198,-93,105
199,-272,200
200,-281,200
201,4,17
202,-299,200
203,-290,200
204,-281,200
205,-245,200
206,-97,64
207,-344,200
208,-263,200
209,-245,200
210,-425,200
211,-308,200
212,-281,200
213,-299,200
214,-335,200
215,-263,200
216,-227,200
217,-299,200
218,-263,200
219,-362,200
220,-263,200
221,-245,200
222,-344,200
223,-245,200
224,-42,63
225,-290,200
226,-299,200
227,-236,200
228,-245,200
229,-398,200
230,-4,16
231,-272,200
232,-353,200
233,-317,200
234,-407,200
235,-263,200
236,-19,31
237,-281,200
238,-326,200
239,-326,200
240,-299,200
241,-272,200
242,-266,188
243,-245,200
244,-281,200
245,-233,173
246,-308,200
247,-281,200
248,-290,200
249,-254,200
250,-263,200
251,-245,200
252,-308,200
253,-281,200
254,-299,200
255,-171,138
256,-326,200
257,-353,200
258,-335,200
259,-308,200
260,-179,137
261,-245,200
262,-53,65
263,-317,200
264,-272,200
265,-290,200
266,-290,200
267,-308,200
268,-281,200
269,-272,200
270,-299,200
271,-263,200
272,-299,200
273,-272,200
274,-272,200
275,-236,200
276,-308,200
277,-281,200
278,-272,200
279,-272,200
280,-290,200
281,-263,200
282,-290,200
283,-371,200
284,-326,200
285,-263,200
286,-254,200
287,-144,120
288,-272,200
289,-290,200
290,-245,200
291,-281,200
292,-290,200
293,-263,200
294,-35,38
295,-308,200
296,-398,200
297,-263,200
298,-142,118
299,-245,200
300,-262,175
301,-245,200
302,-263,200
303,-317,200
304,-290,200
305,-160,154
306,-263,200
307,-254,200
308,-251,200
309,-254,200
310,-254,200
311,-281,200
312,-263,200
313,-299,200
314,-317,200
315,-353,200
316,-263,200
317,-317,200
318,-272,200
319,-299,200
320,-281,200
321,-281,200
322,-215,155
323,-335,200
324,-254,200
325,-272,200
326,-299,200
327,-290,200
328,-4,16
329,-272,200
330,-245,200
331,-326,200
332,-299,200
333,-272,200
334,-281,200
335,-281,200
336,-263,200
337,-299,200
338,-194,179
339,-281,200
340,-254,200
341,-281,200
342,-281,200
343,-245,200
344,-272,200
345,-281,194
346,-290,200
347,-290,200
348,-281,200
349,-254,200
350,-290,200
351,-326,200
352,-218,200
353,-272,200
354,-263,200
355,-254,200
356,-272,200
357,-281,200
358,-308,200
359,-263,200
360,-317,200
361,-263,200
362,-31,43
363,-308,200
364,-106,100
365,-317,200
366,-299,200
367,-236,200
368,-299,200
369,-272,200
370,-335,200
371,-245,200
372,-281,200
373,-281,200
374,-254,200
375,-308,200
376,-290,200
377,-272,200
378,-299,200
379,-290,200
380,-207,138
381,-272,200
382,-254,200
383,-254,200
384,-121,88
385,-254,200
386,-290,200
387,-317,200
388,-263,200
389,-263,200
390,-299,200
391,-242,173
392,-290,200
393,-299,200
394,-290,200
395,-281,200
396,-245,200
397,-281,200
398,-51,54
399,-398,200
400,-326,200
401,-308,200
402,-299,200
403,-235,166
