episode,reward,steps
464,-74,77
465,10,11
466,12,9
467,-10,22
468,6,15
469,-16,28
470,2,10
471,-109,94
472,-13,16
473,-125,92
474,14,7
475,3,18
476,10,11
477,6,15
478,-40,34
479,-19,22
480,-3,24
481,-66,69
482,1,20
483,-68,71
484,12,9
485,4,17
486,6,15
487,-116,92
488,-8,29
489,6,15
490,-16,28
491,-1,22
492,-13,25
493,-24,36
494,-12,24
495,-112,97
496,-20,41
497,-32,53
498,11,10
499,-59,53
500,7,14
501,-18,30
502,1,11
503,-20,32
504,-63,66
505,5,16
506,-52,73
507,-47,32
508,4,8
509,6,15
510,3,18
511,-8,20
512,-8,20
513,0,21
514,-31,34
515,-31,34
516,8,13
517,7,14
518,-29,32
519,-10,22
520,-7,19
521,-10,13
522,-16,28
523,-8,20
524,-43,46
525,-74,77
526,-1,13
527,8,13
528,-65,68
529,4,17
530,-22,34
531,-60,54
532,1,11
533,9,12
534,13,8
535,9,12
536,-2,14
537,-14,26
538,-6,27
539,-7,19
540,-9,30
541,-22,25
542,-1,13
543,-9,21
544,11,10
545,11,10
546,5,16
547,8,13
548,-12,24
549,-42,45
550,1,20
551,-11,23
552,-35,47
553,12,9
554,-46,31
555,-109,67
556,15,6
557,-33,45
558,10,11
559,8,13
560,9,12
561,-40,34
562,-6,18
563,1,20
564,-33,27
565,-11,23
566,0,21
567,-28,31
568,-11,23
569,4,17
570,10,11
571,10,11
572,-23,26
573,8,13
574,-22,43
575,-10,22
576,-3,15
577,-4,25
578,0,12
579,-21,24
580,-28,31
581,-1,13
582,-9,21
583,11,10
584,-27,30
585,8,13
586,-22,43
587,-46,31
588,-5,17
589,4,17
590,10,11
591,14,7
592,5,16
593,3,18
594,8,13
595,-11,14
596,3,18
597,2,19
598,-33,36
599,-21,33
600,9,12
601,-7,19
602,10,11
603,0,12
604,-8,20
605,-19,22
606,-11,23
607,9,12
608,-1,13
609,14,7
610,-19,31
611,-15,27
612,-4,25
613,7,14
614,-13,25
615,-18,30
616,0,21
617,-17,29
618,-9,21
619,12,9
620,10,11
621,1,20
622,-30,33
623,-5,17
624,-4,16
625,-5,17
626,6,15
627,9,12
628,-43,46
629,-1,13
630,10,11
631,-13,25
632,-12,24
633,2,19
634,-2,23
635,-8,20
636,13,8
637,11,10
638,6,15
639,10,11
640,-25,28
641,-4,25
642,4,17
643,2,19
644,9,12
645,1,20
646,-11,32
647,-1,13
648,-8,20
649,-3,15
650,-27,30
651,5,16
652,7,14
653,-7,28
654,-1,13
655,5,16
656,-54,48
657,9,12
658,-28,40
659,9,12
660,-6,27
661,11,10
662,11,10
663,7,14
664,10,11
665,13,8
666,5,16
667,-10,31
668,-7,19
669,5,16
670,-3,15
671,-28,49
672,-1,13
673,8,13
674,-11,23
675,-2,23
676,-1,22
677,10,11
678,-3,24
679,-80,56
680,6,15
681,0,12
682,7,14
683,14,7
684,-1,13
685,11,10
686,12,9
687,11,10
688,-13,25
689,8,13
690,12,9
691,2,19
692,4,17
693,-8,11
694,-10,22
695,-26,29
696,-19,22
697,-2,14
698,7,14
699,14,7
700,4,17
701,11,10
702,-17,20
703,-5,17
704,-12,15
705,-13,16
706,-42,54
707,-4,16
708,2,19
709,0,21
710,-16,19
711,-1,13
712,-3,15
713,8,13
714,8,13
715,-15,36
716,-42,27
717,-17,20
718,4,17
719,-4,16
720,1,20
721,8,13
722,-13,25
723,5,16
724,-12,24
725,3,18
726,-8,20
727,-13,25
728,-22,25
729,-15,27
730,-16,37
731,11,10
732,5,16
733,-21,42
734,1,20
735,-2,14
736,0,21
737,-1,13
738,-4,16
739,-8,11
740,2,19
741,-1,13
742,13,8
743,5,16
744,-6,18
745,-1,13
746,0,12
747,-10,13
748,-22,34
749,3,18
750,12,9
751,10,11
752,-12,24
753,9,12
754,9,12
755,-19,31
756,11,10
757,9,12
758,3,18
759,0,21
760,-19,22
761,-31,34
762,-24,27
763,-69,81
764,5,16
765,-4,25
766,5,16
767,-5,17
768,-27,21
769,10,11
770,-11,23
771,-5,17
772,8,13
773,5,16
774,2,19
775,4,17
776,10,11
777,-18,21
778,-13,25
779,6,15
780,7,14
781,0,12
782,5,16
783,10,11
784,5,16
785,-8,20
786,10,11
787,-7,19
788,6,15
789,-1,13
790,7,14
791,5,16
792,0,12
793,1,11
794,10,11
795,1,20
796,8,13
797,7,14
798,2,19
799,2,19
800,-3,15
801,-22,16
802,3,9
803,13,8
804,7,14
805,-4,16
806,-17,20
807,2,19
808,9,12
809,7,14
810,9,12
811,-21,33
812,3,18
813,-1,22
814,0,21
815,-15,18
816,3,18
817,13,8
818,-37,31
819,7,14
820,3,18
821,9,12
822,3,18
823,-2,14
824,4,17
825,-8,20
826,12,9
827,9,12
828,10,11
829,10,11
830,9,12
831,9,12
832,-15,27
833,4,17
834,-18,21
835,-4,16
836,0,21
837,-23,26
838,5,16
839,7,14
840,6,15
841,7,14
842,6,15
843,9,12
844,4,17
845,-1,22
846,-4,16
847,2,19
848,-4,16
849,-6,18
850,10,11
851,9,12
852,-5,17
853,-4,16
854,7,14
855,-7,19
856,-14,26
857,-4,16
858,9,12
859,6,15
860,14,7
861,6,15
862,-3,15
863,0,12
864,-5,17
865,-6,18
866,2,19
867,4,17
868,-1,13
869,4,17
870,-4,16
871,9,12
872,-4,25
873,9,12
874,9,12
875,-18,21
876,8,13
877,-3,24
878,12,9
879,10,11
880,-21,24
881,9,12
882,4,17
883,14,7
884,-2,23
885,-7,19
886,2,19
887,8,13
888,-9,21
889,8,13
890,-6,18
891,-18,21
892,12,9
893,7,14
894,-1,13
895,-3,15
896,9,12
897,8,13
898,3,18
899,9,12
900,-3,15
901,7,14
902,1,20
903,10,11
904,8,13
905,7,14
906,7,14
907,5,16
908,0,21
909,10,11
910,7,14
911,-6,18
912,4,17
913,9,12
914,12,9
915,5,16
916,4,17
917,0,21
918,-44,29
919,5,16
920,-3,24
921,-28,22
922,-15,27
923,12,9
924,6,15
925,-13,16
926,9,12
927,14,7
928,-2,14
929,4,17
930,-14,17
931,-1,13
932,0,12
933,4,17
934,11,10
935,8,13
936,10,11
937,10,11
938,6,15
939,5,16
940,3,18
941,9,12
942,-27,21
943,10,11
944,-46,49
945,-1,22
946,3,18
947,-5,17
948,12,9
949,8,13
950,4,17
951,4,17
952,6,15
953,9,12
954,9,12
955,-2,14
956,0,12
957,-11,14
958,9,12
959,-66,33
960,10,11
961,7,14
962,-3,15
963,-4,16
964,8,13
965,-2,14
966,5,16
967,8,13
968,7,14
969,10,11
970,-3,15
971,-3,15
972,10,11
973,1,11
974,4,17
975,4,17
976,5,16
977,5,16
978,-8,29
979,7,14
980,3,18
981,-15,27
982,4,17
983,2,19
984,8,13
985,3,18
986,-6,18
987,11,10
988,2,19
989,-6,18
990,10,11
991,-17,20
992,8,13
993,3,18
994,-6,18
995,6,15
996,6,15
997,-2,14
998,10,11
999,1,11
1000,-4,16
1001,5,16
1002,1,20
1003,-9,21
1004,-6,18
1005,-5,17
1006,12,9
1007,9,12
1008,9,12
1009,8,13
1010,1,20
1011,5,7
1012,5,16
1013,12,9
1014,-12,24
1015,10,11
1016,5,16
1017,-4,16
1018,9,12
1019,-9,21
1020,6,15
1021,6,15
1022,8,13
1023,9,12
1024,5,16
1025,7,14
1026,-1,13
1027,11,10
1028,9,12
1029,-9,21
1030,12,9
1031,5,16
1032,13,8
1033,3,18
1034,-5,26
1035,7,14
1036,9,12
1037,5,16
1038,1,20
1039,11,10
1040,1,20
1041,5,16
1042,12,9
1043,9,12
1044,4,17
1045,4,17
1046,-27,30
1047,5,16
1048,-10,22
1049,8,13
1050,-3,15
1051,4,17
1052,9,12
1053,2,19
1054,8,13
1055,7,14
1056,7,14
1057,9,12
1058,-6,18
1059,5,16
1060,13,8
1061,-2,14
1062,-8,20
1063,8,13
1064,7,14
1065,-1,22
1066,-10,31
1067,10,11
1068,11,10
1069,-6,18
1070,5,16
1071,9,12
1072,-4,16
1073,7,14
1074,-6,18
1075,7,14
1076,-5,17
1077,13,8
1078,9,12
1079,-4,16
1080,0,12
1081,7,14
1082,3,18
1083,-7,19
1084,5,16
1085,7,14
1086,-17,20
1087,-3,15
1088,-2,14
1089,-12,24
1090,-10,13
1091,-13,25
1092,2,10
1093,7,14
1094,-12,24
1095,9,12
1096,3,18
1097,-1,13
1098,6,15
1099,-27,39
1100,7,14
1101,12,9
1102,-28,22
1103,1,11
1104,-16,19
1105,6,15
1106,7,14
1107,10,11
1108,-21,24
1109,0,12
1110,8,13
1111,9,12
1112,5,16
1113,-18,21
1114,11,10
1115,-10,22
1116,8,13
1117,10,11
1118,7,14
1119,9,12
1120,8,13
1121,-9,12
1122,6,15
1123,-8,20
1124,-6,18
1125,-4,16
1126,-5,17
1127,12,9
1128,-3,15
1129,4,17
1130,-9,21
1131,9,12
1132,7,14
1133,7,14
1134,9,12
1135,10,11
1136,-37,31
1137,-22,16
1138,9,12
1139,5,16
1140,-5,17
1141,6,15
1142,8,13
1143,10,11
1144,4,17
1145,-6,18
1146,6,15
1147,-4,16
1148,0,21
1149,0,21
1150,5,16
1151,-18,21
1152,-2,14
1153,10,11
1154,-2,14
1155,-15,18
1156,11,10
1157,8,13
1158,-4,16
1159,10,11
1160,-3,15
1161,-2,14
1162,7,14
1163,-3,15
1164,3,18
1165,3,18
1166,-4,16
1167,0,12
1168,8,13
1169,-1,13
1170,3,18
1171,9,12
1172,-3,15
1173,-17,20
1174,14,7
1175,-1,13
1176,9,12
1177,6,15
1178,3,18
1179,-4,16
1180,9,12
1181,10,11
1182,3,18
1183,0,21
1184,-30,24
1185,6,15
1186,-1,22
1187,6,15
1188,5,16
1189,-1,13
1190,-4,25
1191,2,10
1192,10,11
1193,5,16
1194,10,11
1195,-1,22
1196,-3,15
1197,9,12
1198,0,21
1199,9,12
1200,-9,12
1201,4,17
1202,11,10
1203,12,9
1204,4,17
1205,10,11
1206,-15,18
1207,-17,20
1208,8,13
1209,6,15
1210,7,14
1211,9,12
1212,11,10
1213,-5,17
1214,12,9
1215,5,16
1216,5,16
1217,0,21
1218,10,11
1219,5,16
1220,-1,22
1221,-18,21
1222,1,20
1223,-10,22
1224,-4,25
1225,11,10
1226,11,10
1227,5,16
1228,-1,13
1229,-7,19
1230,-5,17
1231,4,17
1232,3,18
1233,0,12
1234,7,14
1235,7,14
1236,9,12
1237,6,15
1238,-6,18
1239,-15,18
1240,-5,17
1241,5,16
1242,1,20
1243,6,15
1244,-9,21
1245,6,15
1246,-1,13
1247,9,12
1248,-9,21
1249,7,14
1250,-5,17
1251,-4,16
1252,-1,13
1253,6,15
1254,8,13
1255,6,15
1256,7,14
1257,12,9
1258,-3,15
1259,8,13
1260,6,15
1261,5,16
1262,-7,19
1263,4,17
1264,3,18
1265,-9,21
1266,7,14
1267,7,14
1268,10,11
1269,-5,17
1270,0,12
1271,11,10
1272,5,16
1273,-16,19
1274,-1,13
1275,3,18
1276,3,18
1277,-11,23
1278,8,13
1279,8,13
1280,-6,18
1281,7,14
1282,8,13
1283,0,21
1284,12,9
1285,10,11
1286,-20,23
1287,5,16
1288,-15,18
1289,8,13
1290,4,17
1291,-3,15
1292,5,16
1293,-14,17
1294,10,11
1295,-5,17
1296,6,15
1297,-17,29
1298,-4,16
1299,12,9
1300,9,12
1301,-2,14
1302,10,11
1303,6,15
1304,-8,20
1305,7,14
1306,7,14
1307,9,12
1308,8,13
1309,4,17
1310,5,16
1311,0,21
1312,14,7
1313,7,14
1314,-17,20
1315,5,16
1316,3,18
1317,6,15
1318,9,12
1319,-6,18
1320,11,10
1321,9,12
1322,2,10
1323,-8,20
1324,4,17
1325,-12,24
1326,-6,18
1327,10,11
1328,8,13
1329,12,9
1330,1,20
1331,8,13
1332,-7,19
1333,13,8
1334,-5,17
1335,6,15
1336,-2,14
1337,6,15
1338,4,17
1339,5,16
1340,6,15
1341,7,14
1342,11,10
1343,1,20
1344,-9,21
1345,5,16
1346,-11,14
1347,7,14
1348,-11,23
1349,7,14
1350,9,12
1351,-10,22
1352,8,13
1353,2,10
1354,-1,13
1355,2,19
1356,5,16
1357,5,16
1358,-2,14
1359,4,17
1360,5,16
1361,11,10
1362,10,11
1363,-29,23
1364,7,14
1365,7,14
1366,-6,18
1367,8,13
1368,-7,19
1369,-3,15
1370,9,12
1371,4,17
1372,10,11
1373,-4,16
1374,4,17
1375,9,12
1376,3,18
1377,0,12
1378,9,12
1379,7,14
1380,7,14
1381,9,12
1382,11,10
1383,10,11
1384,-7,19
1385,13,8
1386,13,8
1387,7,14
1388,10,11
1389,-4,16
1390,7,14
1391,13,8
1392,-19,22
1393,-7,19
1394,14,7
1395,13,8
1396,3,18
1397,2,19
1398,8,13
1399,5,16
1400,9,12
1401,-6,18
1402,9,12
1403,3,18
1404,9,12
1405,13,8
1406,-2,14
1407,-7,19
1408,-8,20
1409,-2,14
1410,-5,17
1411,13,8
1412,9,12
1413,-1,13
1414,-5,17
1415,7,14
1416,13,8
1417,5,16
1418,12,9
1419,11,10
1420,-8,20
1421,8,13
1422,6,15
1423,-7,19
1424,3,18
1425,15,6
1426,5,16
1427,10,11
1428,2,19
1429,-4,16
1430,3,18
1431,-4,16
1432,-8,20
1433,-15,18
1434,7,14
1435,5,16
1436,9,12
1437,-15,18
1438,8,13
1439,5,16
1440,-4,16
1441,8,13
1442,12,9
1443,-3,15
1444,-1,13
1445,5,16
1446,4,17
1447,11,10
1448,11,10
1449,-3,15
1450,1,11
1451,-12,15
1452,3,18
1453,10,11
1454,9,12
1455,2,19
1456,8,13
1457,2,19
1458,12,9
1459,-3,15
1460,7,14
1461,-4,16
1462,6,15
1463,2,19
1464,3,18
1465,2,19
1466,7,14
1467,-14,17
1468,-19,13
1469,5,16
1470,-15,18
1471,6,15
1472,9,12
1473,10,11
1474,1,20
1475,9,12
1476,11,10
1477,1,20
1478,2,19
1479,-14,26
1480,9,12
1481,-2,14
1482,10,11
1483,-4,16
1484,1,11
1485,12,9
1486,8,13
1487,14,7
1488,-12,15
1489,10,11
1490,9,12
1491,6,15
1492,10,11
1493,-3,15
1494,5,16
1495,-4,16
1496,13,8
1497,7,14
1498,5,16
1499,-2,14
1500,4,17
1501,7,14
1502,-5,17
1503,1,11
1504,7,14
1505,-14,17
1506,-16,19
1507,3,18
1508,4,17
1509,10,11
1510,5,16
1511,4,17
1512,7,14
1513,7,14
1514,13,8
1515,3,18
1516,-7,19
1517,3,18
1518,9,12
1519,14,7
1520,-13,16
1521,-1,13
1522,-1,13
1523,-3,15
1524,-3,15
1525,5,16
1526,-8,20
1527,7,14
1528,-2,14
