episode,reward,steps
457,-30,24
458,-93,60
459,-146,77
460,-276,153
461,-276,153
462,-92,59
463,-21,24
464,-333,183
465,-10,22
466,-149,80
467,-425,200
468,-41,35
469,-45,48
470,-153,93
471,-8,11
472,-92,68
473,-7,19
474,-15,18
475,-56,50
476,-34,28
477,1,11
478,-190,103
479,-42,45
480,-125,74
481,-148,88
482,-389,200
483,-407,200
484,-164,104
485,-133,64
486,-256,151
487,-36,30
488,-212,134
489,-42,36
490,-250,127
491,-168,108
492,-83,68
493,12,9
494,-2,14
495,-147,96
496,-65,59
497,-167,107
498,-17,20
499,-216,138
500,-50,26
501,-275,170
502,-366,189
503,-241,127
504,-398,200
505,-89,47
506,-58,25
507,-143,101
508,8,13
509,-29,23
510,-46,49
511,-72,48
512,-170,92
513,-223,109
514,-129,87
515,-32,26
516,-124,91
517,-169,109
518,-106,55
519,-283,133
520,-11,14
521,1,20
522,-80,74
523,-118,76
524,-7,19
525,-189,111
526,-83,50
527,-58,43
528,-71,38
529,-196,100
530,-113,98
531,-104,71
532,-71,38
533,-11,14
534,-133,91
535,-179,101
536,-258,153
537,-371,200
538,-291,150
539,-15,18
540,-183,123
541,-371,200
542,-58,43
543,-138,123
544,-110,68
545,-105,54
546,-150,99
547,-291,159
548,-360,192
549,-207,120
550,-261,129
551,-65,50
552,12,9
553,-48,42
554,-169,91
555,-133,73
556,-178,100
557,-169,82
558,-53,29
559,0,12
560,-47,32
561,-266,152
562,-67,43
563,-19,22
564,-137,86
565,-110,77
566,-55,58
567,-353,200
568,-109,58
569,-20,32
570,-211,106
571,-213,126
572,-164,86
573,-127,85
574,-103,61
575,-54,48
576,-339,180
577,-326,131
578,-32,35
579,-72,48
580,-42,36
581,-172,103
582,-398,200
583,2,10
584,-89,74
585,-50,35
586,-93,60
587,-19,22
588,-74,41
589,-82,31
590,2,10
591,-12,15
592,-33,27
593,-24,27
594,-263,158
595,-192,114
596,-11,14
597,-23,35
598,-109,58
599,-44,38
600,-26,29
601,-132,90
602,-68,62
603,-26,20
604,-73,67
605,-371,200
606,-161,92
607,-50,26
608,-73,58
609,-66,51
610,-171,111
611,-166,115
612,-12,15
613,-44,29
614,-76,52
615,-32,26
616,-64,49
617,-141,90
618,14,7
619,-1,13
620,-56,59
621,-27,39
622,-6,18
623,-254,149
624,-22,25
625,-38,23
626,-3,15
627,-238,115
628,-63,39
629,-203,134
630,-5,17
631,-292,160
632,-302,170
633,-88,55
634,1,11
635,-148,88
636,-225,138
637,-100,58
638,1,11
639,-212,134
640,-88,37
641,-156,87
642,10,11
643,-84,42
644,-11,14
645,-84,69
646,-253,139
647,-80,56
648,-243,102
649,-2,14
650,-47,41
651,-222,126
652,-2,14
653,-78,63
654,-156,132
655,-55,40
656,-7,19
657,-60,36
658,-63,30
659,-132,99
660,-354,150
661,-66,60
662,2,10
663,-358,190
664,-114,90
665,-79,55
666,-1,13
667,-139,97
668,-30,24
669,-87,45
670,-175,115
671,-98,65
672,-165,87
673,-7,19
674,-172,94
675,-66,42
676,4,17
677,-23,44
678,-5,17
679,-112,79
680,-12,15
681,-108,75
682,6,15
683,-135,93
684,-194,107
685,-3,15
686,-67,43
687,-134,83
688,-95,53
689,9,12
690,-144,84
691,-73,49
692,-192,114
693,-134,83
694,-18,21
695,-5,17
696,-24,18
697,9,12
698,-2,14
699,-13,25
700,-20,23
701,12,9
702,0,21
703,-27,30
704,-120,96
705,-9,30
706,-1,13
707,-83,59
708,-15,18
709,-17,20
710,-254,131
711,-270,156
712,-22,16
713,-25,19
714,-111,96
715,6,15
716,-31,34
717,-86,44
718,-230,152
719,-20,23
720,-233,101
721,-82,58
722,-23,26
723,13,8
724,-4,25
725,-6,18
726,-40,34
727,-48,42
728,-79,64
729,-77,44
730,-1,13
731,-19,31
732,-18,21
733,-119,68
734,-171,102
735,-2,14
736,9,12
737,11,10
738,-73,58
739,8,13
740,-82,67
741,-292,160
742,-89,56
743,-53,47
744,-2,14
745,-53,29
746,-154,94
747,-34,28
748,-122,80
749,-39,42
750,-7,10
751,-136,85
752,-12,15
753,-57,60
754,-41,35
755,-105,54
756,-26,29
757,-71,47
758,-15,27
759,-91,76
760,-5,26
761,-158,89
762,-20,14
763,-65,32
764,1,20
765,1,20
766,-132,72
767,-132,72
768,-137,86
769,-211,142
770,-29,32
771,-164,104
772,-56,41
773,-25,37
774,-54,57
775,-17,20
776,-130,79
777,-2,14
778,-211,142
779,11,10
780,-109,76
781,-109,76
782,-55,40
783,-81,66
784,-22,25
785,-102,51
786,-154,85
787,-7,10
788,-230,116
789,-14,26
790,-96,72
791,-3,15
792,-59,44
793,-50,35
794,-130,70
795,-40,25
796,-12,24
797,1,11
798,-115,82
799,-30,24
800,-29,23
801,-29,32
802,-58,34
803,-28,22
804,9,12
805,-67,52
806,-31,34
807,3,18
808,-18,21
809,-53,47
810,-40,43
811,-50,35
812,-86,89
813,-29,32
814,-183,87
815,-220,106
816,-9,21
817,-11,23
818,-101,68
819,-23,17
820,-19,22
821,2,19
822,-90,57
823,-27,30
824,11,10
825,-43,46
826,-57,60
827,-197,74
828,-91,67
829,-75,33
830,-103,70
831,-7,19
832,13,8
833,-13,16
834,-37,40
835,7,14
836,-22,25
837,-11,32
838,-245,149
839,-59,35
840,-6,18
841,-108,66
842,-31,34
843,8,13
844,-49,52
845,-76,52
846,-236,131
847,-53,29
848,-181,94
849,-47,32
850,-3,24
851,-90,39
852,10,11
853,-9,12
854,-36,30
855,-18,21
856,-36,30
857,-154,85
858,-144,84
859,-12,15
860,-177,81
861,3,18
862,-59,26
863,-145,85
864,-18,21
865,-23,26
866,0,12
867,-153,102
868,-61,55
869,-11,32
870,-31,34
871,-40,25
872,-18,21
873,-44,29
874,6,15
875,-56,50
876,-50,53
877,3,18
878,-4,16
879,-90,57
880,-9,12
881,-4,16
882,-136,85
883,-52,28
884,-10,22
885,-198,102
886,4,17
887,-47,32
888,-10,13
889,-4,16
890,-20,32
891,-25,19
892,-120,69
893,15,6
894,-5,17
895,-152,74
896,-79,64
897,0,12
898,3,18
899,-72,57
900,-389,176
901,-89,56
902,-27,39
903,-112,61
904,-18,30
905,-55,31
906,-47,23
907,-44,38
908,-20,32
909,-61,46
910,-181,112
911,-62,56
912,-110,59
913,-41,35
914,-53,38
915,-16,19
916,12,9
917,-76,52
918,-244,130
919,-2,14
920,-47,32
921,-31,25
922,-42,18
923,-93,42
924,-137,68
925,8,13
926,-32,26
927,-89,65
928,-15,27
929,-23,17
930,-63,48
931,10,11
932,-12,15
933,-21,15
934,-53,47
935,-46,31
936,-23,26
937,-9,21
938,-14,26
939,-90,39
940,-73,58
941,-13,25
942,-48,51
943,-23,35
944,-154,49
945,-6,18
946,-6,18
947,-8,11
948,-46,31
949,-29,23
950,-46,31
951,-48,51
952,-212,125
953,-12,15
954,-15,18
955,-19,13
956,-68,26
957,-29,32
958,-5,17
959,0,21
960,0,12
961,-6,18
962,12,9
963,-16,28
964,-25,19
965,-22,16
966,-78,54
967,-51,45
968,-4,16
969,-181,94
970,7,14
971,0,12
972,-13,16
973,-82,67
974,-114,63
975,-86,62
976,-24,27
977,-93,69
978,-50,26
979,2,10
980,7,14
981,-36,21
982,0,21
983,-62,29
984,-10,13
985,-41,35
986,-23,17
987,-7,19
988,-127,76
989,-24,18
990,7,14
991,-26,29
992,-32,26
993,-37,22
994,10,11
995,-2,14
996,-16,19
997,-41,35
998,-132,81
999,9,12
1000,9,12
1001,-113,71
1002,-27,21
1003,-17,20
1004,-63,48
1005,2,19
1006,-27,21
1007,-8,20
1008,-2,14
1009,-42,27
1010,-40,34
1011,-48,42
1012,-7,19
1013,-3,15
1014,-67,34
1015,-3,15
1016,-1,13
1017,7,14
1018,-7,19
1019,-7,19
1020,-21,24
1021,-13,25
1022,-227,131
1023,-12,24
1024,-95,71
1025,-24,18
1026,-5,17
1027,-26,29
1028,-48,33
1029,-131,89
1030,-10,22
1031,-28,22
1032,-6,18
1033,-9,21
1034,-61,55
1035,-20,32
1036,-158,80
1037,-172,76
1038,-54,21
1039,-16,19
1040,4,17
1041,-48,33
1042,-46,31
1043,-9,21
1044,-55,58
1045,-1,13
1046,-3,15
1047,10,11
1048,1,11
1049,-82,40
1050,-37,31
1051,-2,14
1052,-18,21
1053,-34,19
1054,-56,32
1055,-17,20
1056,-8,29
1057,-4,16
1058,-54,39
1059,-29,23
1060,-47,23
1061,-101,59
1062,-32,35
1063,-9,12
1064,-1,13
1065,-5,17
1066,-3,15
1067,-12,15
1068,-6,18
1069,6,15
1070,-46,31
1071,-36,30
1072,-18,21
1073,-25,28
1074,-74,41
1075,-7,19
1076,-16,28
1077,10,11
1078,9,12
1079,-39,33
1080,-62,38
1081,-40,34
1082,-51,54
1083,-13,25
1084,-13,16
1085,-38,32
1086,7,14
1087,-14,17
1088,-83,68
1089,-17,20
1090,-22,16
1091,3,18
1092,-52,28
1093,-22,16
1094,-124,82
1095,-19,22
1096,-65,50
1097,-1,13
1098,-5,17
1099,-5,17
1100,-41,35
1101,-17,20
1102,-96,72
1103,-117,57
1104,-90,48
1105,-21,33
1106,7,14
1107,-74,59
1108,3,18
1109,-13,16
1110,-124,55
1111,-16,19
1112,-48,33
1113,-42,36
1114,-34,28
1115,-44,38
1116,-16,28
1117,-5,17
1118,-18,21
1119,-134,74
1120,-25,28
1121,-43,46
1122,-52,37
1123,-5,26
1124,-15,18
1125,-47,23
1126,-20,23
1127,-60,36
1128,-21,24
1129,-51,27
1130,-102,60
1131,-10,22
1132,-23,26
1133,-69,72
1134,-57,42
1135,-40,34
1136,-24,18
1137,-49,34
1138,-26,29
1139,-103,43
1140,9,12
1141,-62,29
1142,-11,23
1143,9,12
1144,3,18
1145,-29,23
1146,-15,18
1147,-19,22
1148,-27,21
1149,-14,26
1150,5,16
1151,-3,15
1152,-24,27
1153,-23,35
1154,-18,30
1155,-40,34
1156,11,10
1157,-5,8
1158,-32,26
1159,-38,32
1160,6,15
1161,-57,24
1162,-8,20
1163,-15,18
1164,-163,103
1165,-27,21
1166,-14,17
1167,-70,46
1168,4,17
1169,-83,41
1170,-35,20
1171,-46,40
1172,0,12
1173,-56,32
1174,-60,36
1175,-26,38
1176,-15,27
1177,-48,33
1178,-55,40
1179,-43,28
1180,-10,13
1181,-3,24
1182,6,15
1183,-25,19
1184,-24,18
1185,-36,39
1186,9,12
1187,-21,33
1188,-28,22
1189,-93,60
1190,-36,39
1191,-33,27
1192,-16,19
1193,-20,23
1194,-22,16
1195,12,9
1196,-6,18
1197,-12,15
1198,-15,18
1199,-29,32
1200,2,19
1201,-19,22
1202,-61,46
1203,-25,19
1204,7,14
1205,-24,18
1206,-122,53
1207,-70,55
1208,-55,40
1209,-41,26
1210,-18,21
1211,-26,38
1212,-85,34
1213,7,14
1214,-5,17
1215,-19,22
1216,-5,17
1217,5,16
1218,-83,59
1219,8,13
1220,-24,27
1221,-40,34
1222,-26,20
1223,-2,14
1224,-6,18
1225,9,12
1226,-93,69
1227,-72,30
1228,5,16
1229,-13,25
1230,-16,19
1231,-68,35
1232,-7,19
1233,-24,18
1234,10,11
1235,-26,29
1236,-5,8
1237,-29,41
1238,-35,20
1239,-4,16
1240,-22,16
1241,-5,17
1242,-83,50
1243,8,13
1244,-16,19
1245,-53,29
1246,-4,16
1247,-11,14
1248,-46,40
1249,-21,15
1250,-2,23
1251,-51,36
1252,-29,23
1253,-32,17
1254,-6,18
1255,-18,21
1256,-16,19
1257,-28,22
1258,-8,11
1259,-15,18
1260,-24,27
1261,2,19
1262,-99,66
1263,-12,15
1264,-1,13
1265,2,10
1266,3,18
1267,-2,14
1268,-21,24
1269,-26,20
1270,9,12
1271,3,18
1272,-38,32
1273,-68,53
1274,4,8
1275,-24,27
1276,-73,49
1277,-7,19
1278,-43,46
1279,-8,20
1280,-30,24
1281,7,14
1282,9,12
1283,-42,36
1284,-5,26
1285,-17,20
1286,-15,18
1287,-123,63
1288,-64,40
1289,-2,14
1290,-34,19
1291,-7,19
1292,-55,40
1293,-89,29
1294,0,12
1295,-32,17
1296,-2,14
1297,-54,30
1298,-53,38
1299,-16,19
1300,8,13
1301,-8,20
1302,15,6
1303,-7,19
1304,-1,13
1305,-22,25
1306,-41,26
1307,-28,22
1308,1,11
1309,-2,14
1310,-6,18
1311,4,17
1312,-22,25
1313,8,13
1314,-5,17
1315,-3,15
1316,0,12
1317,-54,39
1318,-8,20
1319,-20,23
1320,-7,19
1321,3,18
1322,-6,18
1323,-3,15
1324,-15,36
1325,-28,22
1326,-58,34
1327,-7,19
1328,-31,25
1329,-6,18
1330,1,11
1331,-13,16
1332,-3,15
1333,-37,22
1334,-40,34
1335,-1,13
1336,-24,27
1337,-9,12
1338,-62,38
1339,-1,13
1340,-11,23
1341,-10,22
1342,3,18
1343,8,13
1344,0,12
1345,-4,16
1346,-9,21
1347,5,16
1348,-46,22
1349,-14,17
1350,-51,27
1351,-47,32
1352,5,16
1353,-22,25
1354,-1,22
1355,2,10
1356,-6,18
1357,-34,37
1358,4,17
1359,9,12
1360,-24,27
1361,3,18
1362,-44,29
1363,-24,18
1364,-16,28
1365,11,10
1366,-17,20
1367,6,15
1368,-39,24
1369,-29,32
1370,-12,15
1371,-52,37
1372,-1,13
1373,9,12
1374,-15,18
1375,-30,24
1376,-5,17
1377,-57,33
1378,-47,23
1379,-11,14
1380,-14,26
1381,-30,33
1382,-5,17
1383,-25,19
1384,-37,22
1385,-7,19
1386,-3,15
1387,-46,31
1388,-17,20
1389,-14,17
1390,-33,27
1391,-38,23
1392,-4,16
1393,-32,35
1394,-6,18
1395,-46,40
1396,-64,31
1397,-11,23
1398,5,16
1399,-42,36
1400,-39,33
1401,-3,15
1402,-33,36
1403,-62,47
