episode,reward,steps
1,-587,200
2,-596,200
3,-551,200
4,-551,200
5,-551,200
6,-434,200
7,-542,200
8,-551,200
9,-497,200
10,-434,200
11,-461,200
12,-407,200
13,-497,200
14,-326,200
15,-479,200
16,-416,200
17,-623,200
18,-515,200
19,-326,140
20,-326,200
21,-587,200
22,-299,200
23,-236,95
24,-533,200
25,-308,200
26,-371,200
27,-299,200
28,-326,200
29,-560,200
30,-461,200
31,-290,200
32,-344,200
33,-362,200
34,-389,200
35,-407,200
36,-425,200
37,-317,200
38,-335,200
39,-263,200
40,-317,200
41,-317,200
42,-335,200
43,-335,200
44,-452,200
45,-362,200
46,-281,200
47,-272,194
48,-106,82
49,-299,200
50,-281,200
51,-326,200
52,-308,200
53,-281,200
54,-335,200
55,-362,200
56,-152,92
57,-344,200
58,-335,200
59,-353,200
60,-176,125
61,-299,200
62,-542,200
63,-298,175
64,-524,200
65,-362,200
66,-308,200
67,-452,200
68,-125,56
69,-344,200
70,-326,200
71,-335,200
72,-326,200
73,-335,200
74,-407,200
75,-317,200
76,-271,193
77,-371,200
78,-317,200
79,-362,200
80,-256,151
81,-326,200
82,-138,123
83,-285,198
84,-371,200
85,-380,200
86,-344,200
87,-250,181
88,-272,200
89,-281,200
90,-345,195
91,-308,200
92,-317,200
93,-344,200
94,-163,130
95,-317,200
96,-344,200
97,-290,200
98,-308,200
99,-308,200
100,-335,200
101,-326,200
102,-362,200
103,-269,200
104,-252,183
105,-46,31
106,-335,200
107,-389,200
108,-326,200
109,-299,200
110,-344,200
111,-302,188
112,-317,200
113,-211,142
114,-281,200
115,-362,200
116,-298,184
117,-308,200
118,-290,200
119,-26,29
120,-353,200
121,-290,200
122,-344,200
123,-398,200
124,-162,93
125,-166,115
126,-261,174
127,-371,200
128,-326,200
129,-49,34
130,-153,129
131,-207,120
132,-389,200
133,-153,120
134,-299,200
135,-308,200
136,-407,200
137,-344,200
138,-335,200
139,-182,149
140,-290,200
141,-335,200
142,-335,200
143,-344,200
144,-142,100
145,-314,191
146,-126,102
147,-290,200
148,-398,200
149,-317,200
150,-159,117
151,-281,185
152,-335,200
153,-335,200
154,-290,200
155,-335,200
156,-66,60
157,-206,146
158,-216,156
159,-263,200
160,-335,200
161,-325,193
162,-267,180
163,-290,185
164,-255,159
165,-286,199
166,-237,177
167,-317,200
168,-299,200
169,-308,200
170,-335,200
171,-344,200
172,-80,74
173,-308,200
174,-235,157
175,-141,81
176,-237,150
177,-326,200
178,-130,79
179,-317,200
180,-194,143
