episode,reward,steps
462,-82,76
463,-61,64
464,-6,18
465,-47,50
466,-72,57
467,13,8
468,10,11
469,8,13
470,-34,55
471,-21,33
472,-40,43
473,2,19
474,-4,16
475,12,9
476,-24,36
477,12,9
478,-4,25
479,-23,26
480,-33,27
481,-12,24
482,-42,45
483,-47,50
484,11,10
485,-13,25
486,-63,57
487,-8,29
488,0,21
489,-100,76
490,-1,13
491,-3,24
492,-45,39
493,-42,54
494,-53,47
495,-15,27
496,-1,13
497,-50,62
498,-5,26
499,-18,30
500,-15,27
501,-12,24
502,6,15
503,-2,23
504,11,10
505,-55,58
506,-65,50
507,-2,14
508,10,11
509,-33,27
510,10,11
511,5,16
512,-27,39
513,2,10
514,9,12
515,0,12
516,-6,27
517,-4,25
518,-2,14
519,-21,33
520,9,12
521,-12,33
522,7,14
523,-27,48
524,-9,21
525,11,10
526,2,19
527,-70,73
528,-49,61
529,10,11
530,9,12
531,-3,15
532,10,11
533,-11,32
534,-2,14
535,2,19
536,2,19
537,-27,39
538,-37,40
539,-20,32
540,9,12
541,-14,26
542,-4,25
543,-5,17
544,1,20
545,0,21
546,-10,22
547,-9,30
548,-52,55
549,-22,25
550,-60,54
551,1,20
552,2,10
553,-82,67
554,12,9
555,4,17
556,-51,54
557,-35,38
558,-16,28
559,-5,17
560,0,12
561,-27,30
562,-14,26
563,2,10
564,7,14
565,-36,39
566,-1,13
567,7,14
568,7,14
569,-6,18
570,-3,15
571,-73,67
572,11,10
573,10,11
574,-5,26
575,10,11
576,-23,44
577,-35,29
578,-25,28
579,-58,43
580,2,19
581,-1,13
582,8,13
583,-1,13
584,10,11
585,0,21
586,4,17
587,1,20
588,-2,23
589,-6,18
590,0,12
591,4,17
592,6,15
593,-25,28
594,-1,13
595,12,9
596,12,9
597,5,16
598,5,16
599,5,16
600,7,14
601,-14,17
602,9,12
603,-54,39
604,-9,30
605,10,11
606,-33,36
607,1,20
608,-62,56
609,-27,30
610,-1,22
611,4,17
612,-14,17
613,9,12
614,6,15
615,-19,31
616,-50,44
617,-27,39
618,6,15
619,1,20
620,-3,24
621,9,12
622,-13,25
623,-12,24
624,2,10
625,-5,26
626,5,16
627,-4,25
628,11,10
629,-10,31
630,10,11
631,-4,16
632,-7,19
633,-3,15
634,9,12
635,6,15
636,2,19
637,-6,18
638,-12,24
639,-46,49
640,-18,21
641,1,20
642,8,13
643,-5,17
644,9,12
645,4,17
646,3,9
647,1,11
648,-34,46
649,-20,23
650,6,15
651,11,10
652,2,10
653,13,8
654,-23,35
655,10,11
656,-28,31
657,11,10
658,-4,16
659,0,12
660,-3,15
661,1,11
662,8,13
663,-39,33
664,-3,24
665,7,14
666,8,13
667,-16,19
668,2,19
669,7,14
670,-68,62
671,1,20
672,-1,13
673,12,9
674,-3,24
675,9,12
676,-4,16
677,-47,50
678,4,17
679,7,14
680,11,10
681,-14,17
682,-17,29
683,4,17
684,-3,24
685,-4,16
686,-27,30
687,12,9
688,-2,23
689,-11,23
690,14,7
691,0,12
692,5,16
693,-2,14
694,-17,29
695,7,14
696,2,19
697,-7,19
698,-5,17
699,-7,19
700,2,19
701,-61,46
702,-10,22
703,8,13
704,3,18
705,7,14
706,9,12
707,-1,13
708,-4,16
709,9,12
710,-48,42
711,-4,16
712,9,12
713,-15,27
714,0,21
715,7,14
716,11,10
717,8,13
718,-10,13
719,10,11
720,-7,28
721,-8,29
722,7,14
723,8,13
724,4,17
725,0,12
726,-6,18
727,-1,13
728,-4,16
729,-3,15
730,2,19
731,1,11
732,-1,22
733,2,19
734,1,20
735,-18,30
736,4,17
737,11,10
738,10,11
739,4,17
740,5,16
741,-25,28
742,10,11
743,-9,21
744,7,14
745,-26,29
746,2,19
747,-2,14
748,11,10
749,6,15
750,11,10
751,2,19
752,2,19
753,-7,10
754,-12,24
755,-23,17
756,12,9
757,10,11
758,4,17
759,6,15
760,0,12
761,1,20
762,-26,20
763,-3,15
764,-11,32
765,2,19
766,9,12
767,6,15
768,9,12
769,1,20
770,5,16
771,-2,23
772,-6,18
773,1,11
774,3,9
775,-4,16
776,13,8
777,0,12
778,-5,17
779,7,14
780,7,14
781,6,15
782,-7,28
783,6,15
784,8,13
785,-6,18
786,-1,22
787,-13,16
788,-21,24
789,7,14
790,-38,32
791,8,13
792,-1,13
793,-21,24
794,10,11
795,15,6
796,7,14
797,-22,16
798,-4,16
799,1,20
800,-34,19
801,1,20
802,8,13
803,6,15
804,-7,28
805,5,16
806,-3,24
807,-10,22
808,6,15
809,14,7
810,6,15
811,5,16
812,-14,17
813,-8,20
814,9,12
815,7,14
816,-16,19
817,5,16
818,9,12
819,3,18
820,-6,18
821,3,18
822,10,11
823,-2,14
824,1,11
825,-2,14
826,-3,15
827,-5,17
828,7,14
829,-5,17
830,-18,30
831,6,15
832,8,13
833,-2,14
834,-3,15
835,2,19
836,8,13
837,-18,30
838,-14,17
839,-8,29
840,-9,21
841,8,13
842,8,13
843,14,7
844,6,15
845,-4,25
846,12,9
847,6,15
848,1,20
849,-15,36
850,6,15
851,9,12
852,9,12
853,6,15
854,9,12
855,6,15
856,-4,16
857,-3,24
858,-6,18
859,7,14
860,3,18
861,-14,26
862,7,14
863,2,19
864,-27,21
865,7,14
866,-3,15
867,0,21
868,10,11
869,5,16
870,5,16
871,-20,32
872,12,9
873,10,11
874,2,19
875,10,11
876,-9,21
877,5,16
878,4,17
879,-4,16
880,-3,15
881,5,16
882,10,11
883,6,15
884,-7,19
885,-10,22
886,6,15
887,6,15
888,9,12
889,-4,16
890,-3,15
891,4,17
892,2,10
893,-10,22
894,-4,16
895,-12,24
896,-6,18
897,8,13
898,6,15
899,5,16
900,-4,25
901,12,9
902,10,11
903,-6,18
904,10,11
905,5,16
906,-7,19
907,9,12
908,8,13
909,5,16
910,10,11
911,6,15
912,-5,17
913,6,15
914,9,12
915,-10,22
916,-5,17
917,-14,17
918,-2,14
919,0,12
920,6,15
921,-8,20
922,4,17
923,-2,14
924,-12,24
925,-10,22
926,-2,14
927,11,10
928,2,19
929,3,18
930,-7,19
931,9,12
932,-6,27
933,6,15
934,10,11
935,12,9
936,-15,27
937,7,14
938,4,17
939,10,11
940,3,9
941,11,10
942,8,13
943,9,12
944,-2,14
945,11,10
946,7,14
947,-3,15
948,7,14
949,-17,20
950,5,16
951,9,12
952,7,14
953,-10,22
954,9,12
955,6,15
956,1,20
957,8,13
958,9,12
959,3,18
960,4,8
961,0,12
962,9,12
963,9,12
964,-2,14
965,11,10
966,-4,16
967,9,12
968,7,14
969,-4,16
970,6,15
971,6,15
972,-4,16
973,3,18
974,-6,18
975,-5,17
976,8,13
977,10,11
978,1,20
979,1,20
980,11,10
981,5,16
982,-1,22
983,2,19
984,6,15
985,-22,16
986,-4,16
987,-9,21
988,-6,18
989,12,9
990,7,14
991,-5,17
992,-14,17
993,8,13
994,-8,20
995,8,13
996,9,12
997,-12,24
998,8,13
999,6,15
1000,-22,34
1001,-14,17
1002,5,16
1003,-5,17
1004,11,10
1005,-14,17
1006,-1,22
1007,7,14
1008,6,15
1009,-12,24
1010,-1,13
1011,9,12
1012,4,17
1013,9,12
1014,0,12
1015,-6,18
1016,7,14
1017,5,16
1018,4,17
1019,-3,15
1020,0,21
1021,8,13
1022,0,21
1023,-9,12
1024,4,17
1025,6,15
1026,7,14
1027,-2,14
1028,-7,19
1029,-7,19
1030,3,18
1031,6,15
1032,0,12
1033,7,14
1034,-21,24
1035,6,15
1036,-4,16
1037,-1,22
1038,8,13
1039,8,13
1040,4,17
1041,5,16
1042,-1,13
1043,-4,16
1044,11,10
1045,10,11
1046,7,14
1047,6,15
1048,11,10
1049,14,7
1050,-12,24
1051,6,15
1052,6,15
1053,6,15
1054,12,9
1055,9,12
1056,6,15
1057,4,17
1058,-4,16
1059,13,8
1060,9,12
1061,-21,24
1062,13,8
1063,-4,16
1064,8,13
1065,3,18
1066,2,19
1067,8,13
1068,13,8
1069,-17,20
1070,14,7
1071,12,9
1072,-1,13
1073,6,15
1074,9,12
1075,2,10
1076,5,16
1077,-9,21
1078,6,15
1079,6,15
1080,9,12
1081,10,11
1082,-24,18
1083,-4,16
1084,10,11
1085,-5,17
1086,4,17
1087,10,11
1088,-8,20
1089,-4,16
1090,-10,22
1091,7,14
1092,3,18
1093,9,12
1094,-2,14
1095,1,20
1096,-6,18
1097,8,13
1098,7,14
1099,10,11
1100,4,17
1101,4,17
1102,10,11
1103,4,17
1104,5,16
1105,7,14
1106,14,7
1107,9,12
1108,-10,22
1109,1,20
1110,4,17
1111,1,11
1112,-1,13
1113,-7,19
1114,3,18
1115,-19,22
1116,11,10
1117,4,17
1118,-20,32
1119,0,21
1120,7,14
1121,9,12
1122,7,14
1123,-9,21
